ds,y
2010-01-03,30
2010-01-10,44
2010-01-17,46
2010-01-24,47
2010-01-31,68
2010-02-07,56
2010-02-14,66
2010-02-21,74
2010-02-28,95
2010-03-07,74
2010-03-14,66
2010-03-21,101
2010-03-28,84
2010-04-04,78
2010-04-11,82
2010-04-18,92
2010-04-25,121
2010-05-02,137
2010-05-09,115
2010-05-16,124
2010-05-23,103
2010-05-30,86
2010-06-06,55
2010-06-13,95
2010-06-20,79
2010-06-27,86
2010-07-04,100
2010-07-11,98
2010-07-18,90
2010-07-25,122
2010-08-01,129
2010-08-08,107
2010-08-15,77
2010-08-22,90
2010-08-29,52
2010-09-05,61
2010-09-12,76
2010-09-19,83
2010-09-26,56
2010-10-03,34
2010-10-10,41
2010-10-17,46
2010-10-24,59
2010-10-31,76
2010-11-07,83
2010-11-14,93
2010-11-21,123
2010-11-28,147
2010-12-05,186
2010-12-12,234
2010-12-19,201
2010-12-26,149
2011-01-02,310
2011-01-09,385
2011-01-16,380
2011-01-23,624
2011-01-30,1012
2011-02-06,1639
2011-02-13,1983
2011-02-20,2056
2011-02-27,1898
2011-03-06,1984
2011-03-13,3473
2011-03-20,5472
2011-03-27,6115
2011-04-03,7389
2011-04-10,6204
2011-04-17,5196
2011-04-24,5820
2011-05-01,4805
2011-05-08,4445
2011-05-15,3432
2011-05-22,2631
2011-05-29,2126
2011-06-05,1345
2011-06-12,1024
2011-06-19,633
2011-06-26,547
2011-07-03,341
2011-07-10,299
2011-07-17,219
2011-07-24,293
2011-07-31,194
2011-08-07,204
2011-08-14,206
2011-08-21,154
2011-08-28,145
2011-09-04,165
2011-09-11,156
2011-09-18,208
2011-09-25,240
2011-10-02,232
2011-10-09,257
2011-10-16,252
2011-10-23,322
2011-10-30,321
2011-11-06,406
2011-11-13,369
2011-11-20,599
2011-11-27,622
2011-12-04,816
2011-12-11,944
2011-12-18,869
2011-12-25,1440
2012-01-01,1358
2012-01-08,1383
2012-01-15,1741
2012-01-22,2012
2012-01-29,2164
2012-02-05,2750
2012-02-12,3237
2012-02-19,3819
2012-02-26,5546
2012-03-04,6757
2012-03-11,6953
2012-03-18,8806
2012-03-25,9462
2012-04-01,9668
2012-04-08,12490
2012-04-15,14703
2012-04-22,14708
2012-04-29,13691
2012-05-06,13199
2012-05-13,11482
2012-05-20,10247
2012-05-27,8084
2012-06-03,5290
2012-06-10,4300
2012-06-17,2793
2012-06-24,1896
2012-07-01,1321
2012-07-08,902
2012-07-15,682
2012-07-22,504
2012-07-29,571
2012-08-05,476
2012-08-12,494
2012-08-19,409
2012-08-26,302
2012-09-02,233
2012-09-09,359
2012-09-16,246
2012-09-23,191
2012-09-30,206
2012-10-07,197
2012-10-14,232
2012-10-21,257
2012-10-28,226
2012-11-04,228
2012-11-11,198
2012-11-18,216
2012-11-25,316
2012-12-02,335
2012-12-09,395
2012-12-16,373
2012-12-23,485
2012-12-30,534
2013-01-06,862
2013-01-13,919
2013-01-20,1146
2013-01-27,1346
2013-02-03,1321
2013-02-10,1749
2013-02-17,3237
2013-02-24,3852
2013-03-03,4017
2013-03-10,5395
2013-03-17,5423
2013-03-24,5351
2013-03-31,6644
2013-04-07,6499
2013-04-14,5475
2013-04-21,3931
2013-04-28,2865
2013-05-05,2292
2013-05-12,1670
2013-05-19,1248
2013-05-26,816
2013-06-02,614
2013-06-09,520
2013-06-16,426
2013-06-23,281
2013-06-30,223
2013-07-07,206
2013-07-14,185
2013-07-21,85
2013-07-28,134
2013-08-04,93
2013-08-11,186
2013-08-18,76
2013-08-25,232
2013-09-01,61
2013-09-08,83
2013-09-15,56
2013-09-22,104
2013-09-29,62
2013-10-06,65
2013-10-13,62
2013-10-20,75
2013-10-27,73
2013-11-03,48
2013-11-10,74
2013-11-17,108
2013-11-24,111
2013-12-01,144
2013-12-08,115
2013-12-15,77
2013-12-22,81
2013-12-29,89
2014-01-05,152
2014-01-12,142
2014-01-19,156
2014-01-26,119
2014-02-02,125
2014-02-09,119
2014-02-16,120
2014-02-23,67
2014-03-02,74
2014-03-09,92
2014-03-16,117
2014-03-23,94
2014-03-30,87
2014-04-06,86
2014-04-13,72
2014-04-20,70
2014-04-27,89
2014-05-04,84
2014-05-11,89
2014-05-18,81
2014-05-25,54
2014-06-01,60
2014-06-08,49
2014-06-15,57
2014-06-22,46
2014-06-29,59
2014-07-06,44
2014-07-13,44
2014-07-20,45
2014-07-27,58
2014-08-03,56
2014-08-10,53
2014-08-17,61
2014-08-24,64
2014-08-31,76
2014-09-07,61
2014-09-14,68
2014-09-21,76
2014-09-28,90
